sentence,sentence_GROUP,subj_TYPE,subj_ANIM,subj_GEN,subj_NUM,subj_PERS,subj_ZIPF,sentence_TENSE,verb_ZIPF
which princesses vanish?,question,N,True,f,pl,3,4.5,pres,3.0
which princesses fell?,question,N,True,f,pl,3,4.5,past,4.5
which princesses disappeared?,question,N,True,f,pl,3,4.5,past,3.5
which princesses vanished?,question,N,True,f,pl,3,4.5,past,3.0
which actresses play?,question,N,True,f,pl,3,4.0,pres,4.5
which actresses sing?,question,N,True,f,pl,3,4.0,pres,3.5
which actresses sneeze?,question,N,True,f,pl,3,4.0,pres,2.5
which actresses played?,question,N,True,f,pl,3,4.0,past,4.5
which actresses sang?,question,N,True,f,pl,3,4.0,past,3.5
which actresses sneezed?,question,N,True,f,pl,3,4.0,past,2.5
which actresses fall?,question,N,True,f,pl,3,4.0,pres,4.5
which actresses disappear?,question,N,True,f,pl,3,4.0,pres,3.5
which actresses vanish?,question,N,True,f,pl,3,4.0,pres,3.0
which actresses fell?,question,N,True,f,pl,3,4.0,past,4.5
which actresses disappeared?,question,N,True,f,pl,3,4.0,past,3.5
which actresses vanished?,question,N,True,f,pl,3,4.0,past,3.0
which men play?,question,N,True,m,pl,3,5.5,pres,4.5
which men sing?,question,N,True,m,pl,3,5.5,pres,3.5
which men sneeze?,question,N,True,m,pl,3,5.5,pres,2.5
which men played?,question,N,True,m,pl,3,5.5,past,4.5
which men sang?,question,N,True,m,pl,3,5.5,past,3.5
which men sneezed?,question,N,True,m,pl,3,5.5,past,2.5
which men fall?,question,N,True,m,pl,3,5.5,pres,4.5
which men disappear?,question,N,True,m,pl,3,5.5,pres,3.5
which men vanish?,question,N,True,m,pl,3,5.5,pres,3.0
which men fell?,question,N,True,m,pl,3,5.5,past,4.5
which men disappeared?,question,N,True,m,pl,3,5.5,past,3.5
which men vanished?,question,N,True,m,pl,3,5.5,past,3.0
which princes play?,question,N,True,m,pl,3,4.5,pres,4.5
which princes sing?,question,N,True,m,pl,3,4.5,pres,3.5
which princes sneeze?,question,N,True,m,pl,3,4.5,pres,2.5
which princes played?,question,N,True,m,pl,3,4.5,past,4.5
which princes sang?,question,N,True,m,pl,3,4.5,past,3.5
which princes sneezed?,question,N,True,m,pl,3,4.5,past,2.5
which princes fall?,question,N,True,m,pl,3,4.5,pres,4.5
which princes disappear?,question,N,True,m,pl,3,4.5,pres,3.5
which princes vanish?,question,N,True,m,pl,3,4.5,pres,3.0
which princes fell?,question,N,True,m,pl,3,4.5,past,4.5
which princes disappeared?,question,N,True,m,pl,3,4.5,past,3.5
which princes vanished?,question,N,True,m,pl,3,4.5,past,3.0
which actors play?,question,N,True,m,pl,3,4.5,pres,4.5
which actors sing?,question,N,True,m,pl,3,4.5,pres,3.5
which actors sneeze?,question,N,True,m,pl,3,4.5,pres,2.5
which actors played?,question,N,True,m,pl,3,4.5,past,4.5
which actors sang?,question,N,True,m,pl,3,4.5,past,3.5
which actors sneezed?,question,N,True,m,pl,3,4.5,past,2.5
which actors fall?,question,N,True,m,pl,3,4.5,pres,4.5
which actors disappear?,question,N,True,m,pl,3,4.5,pres,3.5
which actors vanish?,question,N,True,m,pl,3,4.5,pres,3.0
which actors fell?,question,N,True,m,pl,3,4.5,past,4.5
which actors disappeared?,question,N,True,m,pl,3,4.5,past,3.5
which actors vanished?,question,N,True,m,pl,3,4.5,past,3.0
which book falls?,question,N,False,,sg,3,5.0,pres,4.5
which book disappears?,question,N,False,,sg,3,5.0,pres,3.5
which book vanishes?,question,N,False,,sg,3,5.0,pres,3.0
which book fell?,question,N,False,,sg,3,5.0,past,4.5
which book disappeared?,question,N,False,,sg,3,5.0,past,3.5
which book vanished?,question,N,False,,sg,3,5.0,past,3.0
which plate falls?,question,N,False,,sg,3,4.5,pres,4.5
which plate disappears?,question,N,False,,sg,3,4.5,pres,3.5
which plate vanishes?,question,N,False,,sg,3,4.5,pres,3.0
which plate fell?,question,N,False,,sg,3,4.5,past,4.5
which plate disappeared?,question,N,False,,sg,3,4.5,past,3.5
which plate vanished?,question,N,False,,sg,3,4.5,past,3.0
which pencil falls?,question,N,False,,sg,3,3.5,pres,4.5
which pencil disappears?,question,N,False,,sg,3,3.5,pres,3.5
which pencil vanishes?,question,N,False,,sg,3,3.5,pres,3.0
which pencil fell?,question,N,False,,sg,3,3.5,past,4.5
which pencil disappeared?,question,N,False,,sg,3,3.5,past,3.5
which pencil vanished?,question,N,False,,sg,3,3.5,past,3.0
which books fall?,question,N,False,,pl,3,5.0,pres,4.5
which books disappear?,question,N,False,,pl,3,5.0,pres,3.5
which books vanish?,question,N,False,,pl,3,5.0,pres,3.0
which books fell?,question,N,False,,pl,3,5.0,past,4.5
which books disappeared?,question,N,False,,pl,3,5.0,past,3.5
which books vanished?,question,N,False,,pl,3,5.0,past,3.0
which plates fall?,question,N,False,,pl,3,4.5,pres,4.5
which plates disappear?,question,N,False,,pl,3,4.5,pres,3.5
which plates vanish?,question,N,False,,pl,3,4.5,pres,3.0
which plates fell?,question,N,False,,pl,3,4.5,past,4.5
which plates disappeared?,question,N,False,,pl,3,4.5,past,3.5
which plates vanished?,question,N,False,,pl,3,4.5,past,3.0
which pencils fall?,question,N,False,,pl,3,3.5,pres,4.5
which pencils disappear?,question,N,False,,pl,3,3.5,pres,3.5
which pencils vanish?,question,N,False,,pl,3,3.5,pres,3.0
which pencils fell?,question,N,False,,pl,3,3.5,past,4.5
which pencils disappeared?,question,N,False,,pl,3,3.5,past,3.5
which pencils vanished?,question,N,False,,pl,3,3.5,past,3.0
